model,variable,coefficient,std_error,t_stat,p_value,significant_5pct,significant_1pct,N,within_R2
H2_weekly_FE,rsvi,0.17327055020398174,0.08499214103825234,2.0386655529244524,0.041562460283623315,True,False,3380,0.5304889387312848
H2_weekly_FE,hw_days_x_rsvi,0.0075862560570687165,0.012850420154316618,0.5903508185699592,0.5549956434210457,False,False,3380,0.5304889387312848
H2_weekly_FE,tmax_anom_x_rsvi,0.015959386258480597,0.006677610110327709,2.389984739270346,0.016904503765666767,True,False,3380,0.5304889387312848
H2_weekly_FE,tmax_anom_sq_x_rsvi,0.0008775485070252482,0.002627681360865885,0.33396305963675693,0.7384285200130751,False,False,3380,0.5304889387312848
H2_weekly_FE,p95_x_rsvi,0.07409814398039563,0.02777047619262392,2.668234547597594,0.007662155984540009,True,True,3380,0.5304889387312848
H2_weekly_FE,hw_days_week_lag1_x_rsvi,0.016794611546745185,0.010034333588287949,1.6737146915613625,0.09428085651116369,False,False,3380,0.5304889387312848
H2_weekly_FE,hw_days_week_lag2_x_rsvi,-0.0006761031121598379,0.00490383560486832,-0.13787230377148685,0.8903496980988679,False,False,3380,0.5304889387312848
H3_weekly_FE,hw_days_week,0.010732174924798589,0.00785638993147241,1.3660440760209585,0.17201770805252603,False,False,3380,0.5320729439221603
H3_weekly_FE,hw_days_week_lag1,0.008377461271325068,0.006158924511596733,1.3602149621335702,0.17385431273961305,False,False,3380,0.5320729439221603
H3_weekly_FE,hw_days_week_lag2,0.0017920736856497184,0.002297471453615422,0.7800200010448952,0.4354347397120928,False,False,3380,0.5320729439221603
H3_weekly_FE,tmax_anomaly_week,0.005528431072833221,0.003969625545161019,1.3926832669576072,0.16380890248757995,False,False,3380,0.5320729439221603
H3_weekly_FE,tmax_anomaly_week_sq,-0.0007842185403563893,0.0016596456118682069,-0.47252168459844934,0.6365855450090283,False,False,3380,0.5320729439221603
H3_weekly_FE,tmax_anomaly_week_lag1,-0.0011626471697828672,0.0007359937912023993,-1.579696980708819,0.11427159691365096,False,False,3380,0.5320729439221603
H3_weekly_FE,hot_week_p95,-0.0255031316305206,0.011297109133068346,-2.257491835311131,0.024042106166653587,True,False,3380,0.5320729439221603
H3_weekly_FE,rsvi,0.17100504714949805,0.08650448988520436,1.9768343513317057,0.04814302557087391,True,False,3380,0.5320729439221603
H3_weekly_FE,hw_days_x_rsvi,0.005930536824775531,0.013158710325561662,0.45069286260182145,0.652240375988818,False,False,3380,0.5320729439221603
H3_weekly_FE,tmax_anom_x_rsvi,0.01806039205681445,0.006850456152204549,2.6363780244038826,0.008418676444236883,True,True,3380,0.5320729439221603
H3_weekly_FE,tmax_anom_sq_x_rsvi,0.0013114965969922736,0.002659956512657,0.4930518941763581,0.6220085485635205,False,False,3380,0.5320729439221603
H3_weekly_FE,p95_x_rsvi,0.06519802087338435,0.02822054407354461,2.310303469113635,0.020932419767933252,True,False,3380,0.5320729439221603
H3_weekly_FE,hw_days_week_lag1_x_rsvi,0.01680038791124184,0.010055667290463538,1.6707382440123861,0.09486770212988982,False,False,3380,0.5320729439221603
H3_weekly_FE,hw_days_week_lag2_x_rsvi,-0.0008089308027526856,0.004979402206240592,-0.1624554051365579,0.8709571356965338,False,False,3380,0.5320729439221603
H3_weekly_FE,hw_days_x_rsvi_x_d2022,0.006338443945025248,0.006674906207782841,0.9495929602178855,0.34238827613879264,False,False,3380,0.5320729439221603
H3_weekly_FE,tmax_anom_x_rsvi_x_d2022,-0.01610112853966831,0.003990641631984695,-4.034721737632105,5.589977695841242e-05,True,True,3380,0.5320729439221603
H3_weekly_FE,p95_x_rsvi_x_d2022,0.048905999555803624,0.03445274616695058,1.4195094730276565,0.15584447616340835,False,False,3380,0.5320729439221603
H2_weekly_pooled,hw_days_week,-0.15621403151935875,0.044671439509656484,-3.4969553977679735,0.00047673208424714453,True,True,3380,0.9872989449370507
H2_weekly_pooled,hw_days_week_lag1,0.19010827355415474,0.05011894065592981,3.7931422944323967,0.0001513860925141941,True,True,3380,0.9872989449370507
H2_weekly_pooled,hw_days_week_lag2,0.24684072082996433,0.05983475224542996,4.125373826525996,3.791577037826066e-05,True,True,3380,0.9872989449370507
H2_weekly_pooled,tmax_anomaly_week,0.07768477476213939,0.02153931118578316,3.60665083911386,0.0003147130798275555,True,True,3380,0.9872989449370507
H2_weekly_pooled,tmax_anomaly_week_sq,0.14538626902498913,0.02727372722632263,5.330634416724416,1.0436542807745752e-07,True,True,3380,0.9872989449370507
H2_weekly_pooled,tmax_anomaly_week_lag1,0.0013433803198731188,0.0035406919124430455,0.3794118079441141,0.7044061961279757,False,False,3380,0.9872989449370507
H2_weekly_pooled,hot_week_p95,0.420700071349389,0.32575678018787313,1.2914545358250393,0.19663544929174503,False,False,3380,0.9872989449370507
H2_weekly_pooled,rsvi,3.1031499356971235,0.7870313285464741,3.9428543987291644,8.21688313323854e-05,True,True,3380,0.9872989449370507
H2_weekly_pooled,hw_days_x_rsvi,0.18032372771919256,0.0843718753882061,2.1372492538479126,0.0326501280122935,True,False,3380,0.9872989449370507
H2_weekly_pooled,tmax_anom_x_rsvi,0.007690248130864888,0.030982605372876986,0.24821179620991912,0.8039857942452924,False,False,3380,0.9872989449370507
H2_weekly_pooled,tmax_anom_sq_x_rsvi,-0.22764687522479962,0.043343419807982383,-5.252166908686675,1.5972432709787654e-07,True,True,3380,0.9872989449370507
H2_weekly_pooled,p95_x_rsvi,-0.7735345388682066,0.5168510342883254,-1.4966295654865427,0.13458412995174607,False,False,3380,0.9872989449370507
H2_weekly_pooled,hw_days_week_lag1_x_rsvi,-0.30784882197139435,0.07354940347750884,-4.185605965730687,2.9173760650369474e-05,True,True,3380,0.9872989449370507
H2_weekly_pooled,hw_days_week_lag2_x_rsvi,-0.4306187912988424,0.0860139787057206,-5.006381494944181,5.833285630085783e-07,True,True,3380,0.9872989449370507
H3_weekly_pooled,hw_days_week,-0.1585369836782882,0.0443717091208523,-3.572929391709737,0.00035800038722944016,True,True,3380,0.9874058193226635
H3_weekly_pooled,hw_days_week_lag1,0.19091756980516206,0.05032705252909803,3.7935376742911293,0.00015114854642117592,True,True,3380,0.9874058193226635
H3_weekly_pooled,hw_days_week_lag2,0.24728934780638237,0.0594881792348196,4.1569493466970835,3.306301600858319e-05,True,True,3380,0.9874058193226635
H3_weekly_pooled,tmax_anomaly_week,0.07967972003830558,0.021220497473484163,3.754846941635958,0.00017640469159552197,True,True,3380,0.9874058193226635
H3_weekly_pooled,tmax_anomaly_week_sq,0.14571650667773475,0.026974452912289313,5.4020189826110485,7.051077077768753e-08,True,True,3380,0.9874058193226635
H3_weekly_pooled,tmax_anomaly_week_lag1,0.0010487823442415726,0.0035097893433691674,0.2988163224733056,0.7650987970671572,False,False,3380,0.9874058193226635
H3_weekly_pooled,hot_week_p95,0.39886752318106117,0.31337360493171446,1.2728178662908647,0.20317132284761152,False,False,3380,0.9874058193226635
H3_weekly_pooled,rsvi,3.0759507928262466,0.7843733765492108,3.9215390078111154,8.975435406366472e-05,True,True,3380,0.9874058193226635
H3_weekly_pooled,hw_days_x_rsvi,0.1960522726752377,0.08315579270521037,2.3576502165068467,0.018448409115233044,True,False,3380,0.9874058193226635
H3_weekly_pooled,tmax_anom_x_rsvi,-0.019392697616500445,0.032515774941485914,-0.5964089015685085,0.5509425379815149,False,False,3380,0.9874058193226635
H3_weekly_pooled,tmax_anom_sq_x_rsvi,-0.23086575937093542,0.04249525119566156,-5.432742550643048,5.947084114055201e-08,True,True,3380,0.9874058193226635
H3_weekly_pooled,p95_x_rsvi,-0.6126975279751145,0.5212405761757078,-1.175460154062482,0.23989450372886512,False,False,3380,0.9874058193226635
H3_weekly_pooled,hw_days_week_lag1_x_rsvi,-0.3049727611117468,0.07467759399950595,-4.083858956593653,4.5333781700573894e-05,True,True,3380,0.9874058193226635
H3_weekly_pooled,hw_days_week_lag2_x_rsvi,-0.4252662977493852,0.08648056052828346,-4.917478507904697,9.189739107462458e-07,True,True,3380,0.9874058193226635
H3_weekly_pooled,hw_days_x_rsvi_x_d2022,-0.055691834631218455,0.04708642867128248,-1.1827576693066195,0.2369894376504238,False,False,3380,0.9874058193226635
H3_weekly_pooled,tmax_anom_x_rsvi_x_d2022,0.21500044034732002,0.05705048204912089,3.7685998895189536,0.00016700381389633812,True,True,3380,0.9874058193226635
H3_weekly_pooled,p95_x_rsvi_x_d2022,-0.8550418970615146,0.25520720924936185,-3.3503830067200684,0.0008159672065342072,True,True,3380,0.9874058193226635
H3_weekly_FE_excl2020,hw_days_week,0.011024678313028951,0.008533545697766404,1.2919223384383567,0.19648292844242898,False,False,3080,0.551427194321277
H3_weekly_FE_excl2020,hw_days_week_lag1,0.007738803875289479,0.005531294505310287,1.3990945280277312,0.1618873668754457,False,False,3080,0.551427194321277
H3_weekly_FE_excl2020,hw_days_week_lag2,-0.0015926588396812371,0.0026501135961912808,-0.6009775739312427,0.5479000398647123,False,False,3080,0.551427194321277
H3_weekly_FE_excl2020,tmax_anomaly_week,0.004775615793605626,0.004307197858686322,1.1087523606501257,0.26762534351872014,False,False,3080,0.551427194321277
H3_weekly_FE_excl2020,tmax_anomaly_week_sq,-0.0008833161440183538,0.0017373253055048246,-0.5084345120741124,0.611185804025576,False,False,3080,0.551427194321277
H3_weekly_FE_excl2020,tmax_anomaly_week_lag1,-0.0007604872831178081,0.0010697330051700545,-0.7109131712701657,0.47719296109110676,False,False,3080,0.551427194321277
H3_weekly_FE_excl2020,hot_week_p95,-0.021352855458577052,0.012723235201276674,-1.678256757875109,0.09340048378692423,False,False,3080,0.551427194321277
H3_weekly_FE_excl2020,rsvi,0.16501665299535345,0.0851374247693767,1.938238717489476,0.05268721863478665,False,False,3080,0.551427194321277
H3_weekly_FE_excl2020,hw_days_x_rsvi,0.005377289973001541,0.01468419533174801,0.36619575342855554,0.7142446698621194,False,False,3080,0.551427194321277
H3_weekly_FE_excl2020,tmax_anom_x_rsvi,0.018524251010579796,0.007526710263857359,2.4611351255981937,0.013905384390704656,True,False,3080,0.551427194321277
H3_weekly_FE_excl2020,tmax_anom_sq_x_rsvi,0.0015784190767242088,0.002901581530118573,0.5439857747714939,0.5864914318244545,False,False,3080,0.551427194321277
H3_weekly_FE_excl2020,p95_x_rsvi,0.057865713435424765,0.03158361965653848,1.8321431825957712,0.06702854909861022,False,False,3080,0.551427194321277
H3_weekly_FE_excl2020,hw_days_week_lag1_x_rsvi,0.018455348096500467,0.00977595396101178,1.8878309134948503,0.059144474208250974,False,False,3080,0.551427194321277
H3_weekly_FE_excl2020,hw_days_week_lag2_x_rsvi,0.004365340106069135,0.0055006814891576505,0.7935998684296885,0.42749077732484086,False,False,3080,0.551427194321277
H3_weekly_FE_excl2020,hw_days_x_rsvi_x_d2022,0.00512089689869811,0.007020370279875873,0.7294340176582043,0.4657928024327074,False,False,3080,0.551427194321277
H3_weekly_FE_excl2020,tmax_anom_x_rsvi_x_d2022,-0.015083525532651777,0.004062757029759265,-3.7126329293547586,0.00020882119486742567,True,True,3080,0.551427194321277
H3_weekly_FE_excl2020,p95_x_rsvi_x_d2022,0.05226462056238017,0.03640456928391021,1.4356610060341972,0.15120242373683124,False,False,3080,0.551427194321277
H3_weekly_FE_excl_covid,hw_days_week,0.010453747352899632,0.00932402626715906,1.1211623662751422,0.2623184612734717,False,False,2760,0.5394404320378041
H3_weekly_FE_excl_covid,hw_days_week_lag1,0.006537562196771004,0.005776112005277863,1.1318274629711775,0.25780749008673376,False,False,2760,0.5394404320378041
H3_weekly_FE_excl_covid,hw_days_week_lag2,-0.0021789086876638536,0.0025075059408593598,-0.868954546491367,0.38494922707615986,False,False,2760,0.5394404320378041
H3_weekly_FE_excl_covid,tmax_anomaly_week,0.0034052794294401043,0.004810236438070631,0.7079235029881297,0.4790538679298355,False,False,2760,0.5394404320378041
H3_weekly_FE_excl_covid,tmax_anomaly_week_sq,-0.0006717159431082111,0.0016730357317845774,-0.40149527613000335,0.6880872897153538,False,False,2760,0.5394404320378041
H3_weekly_FE_excl_covid,tmax_anomaly_week_lag1,-0.0006122142711598843,0.0011719215855042183,-0.5224020776923224,0.6014332676175456,False,False,2760,0.5394404320378041
H3_weekly_FE_excl_covid,hot_week_p95,-0.023134509762136355,0.012852239043836044,-1.800037307369544,0.07196633261060237,False,False,2760,0.5394404320378041
H3_weekly_FE_excl_covid,rsvi,0.1065088094201167,0.08401466788428569,1.267740646988124,0.2049998993790687,False,False,2760,0.5394404320378041
H3_weekly_FE_excl_covid,hw_days_x_rsvi,0.007188244675127176,0.016792880915512585,0.4280530965051367,0.6686466044782429,False,False,2760,0.5394404320378041
H3_weekly_FE_excl_covid,tmax_anom_x_rsvi,0.020851153820417415,0.008279019178337248,2.5185536319297603,0.011841148155907755,True,False,2760,0.5394404320378041
H3_weekly_FE_excl_covid,tmax_anom_sq_x_rsvi,0.0011460761053309605,0.0028227341063438724,0.4060163168593332,0.6847627858143412,False,False,2760,0.5394404320378041
H3_weekly_FE_excl_covid,p95_x_rsvi,0.05908263471594391,0.03264211206234746,1.8100126181508789,0.0704049681600667,False,False,2760,0.5394404320378041
H3_weekly_FE_excl_covid,hw_days_week_lag1_x_rsvi,0.018122779248821008,0.010748611707858314,1.6860576734362296,0.09190022889619942,False,False,2760,0.5394404320378041
H3_weekly_FE_excl_covid,hw_days_week_lag2_x_rsvi,0.0030606683478990888,0.004868532362806893,0.6286634492318539,0.5296225893816007,False,False,2760,0.5394404320378041
H3_weekly_FE_excl_covid,hw_days_x_rsvi_x_d2022,0.00581001260038878,0.008136064270641091,0.7141060354395373,0.4752233413298206,False,False,2760,0.5394404320378041
H3_weekly_FE_excl_covid,tmax_anom_x_rsvi_x_d2022,-0.014841842149156504,0.004064505200665401,-3.651574156363914,0.00026558810601051697,True,True,2760,0.5394404320378041
H3_weekly_FE_excl_covid,p95_x_rsvi_x_d2022,0.05182770305913545,0.03889725459052728,1.3324257355622509,0.1828327704800945,False,False,2760,0.5394404320378041
